Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Cullen Grace,Crusaders,6,0,0,0,39,30,191,3,2,0,2,3,22,19,3,0,0,0
Tyrone Green,Lions,6,2,0,10,69,44,398,1,4,1,16,5,23,0,0,3,109,0
Richard Hardwick,Rebels,6,1,1,5,41,24,147,0,1,1,6,6,18,0,0,0,0,0
Will Harrison,Waratahs,6,0,1,29,185,39,324,0,3,1,18,4,109,0,0,38,1078,2
Dane Haylett-Petty,Rebels,6,3,2,15,104,47,472,0,3,4,16,3,22,0,0,25,1073,1
Ross Haylett-Petty,Rebels,6,0,0,0,19,10,42,2,0,0,0,1,16,12,2,0,0,0
Bryce Hegarty,Reds,6,1,0,37,48,14,93,0,1,0,3,3,20,0,0,13,419,0
Wiehahn Herbst,Bulls,6,0,0,0,11,9,25,0,0,0,0,0,1,0,0,0,0,0
Jed Holloway,Waratahs,6,0,1,0,31,17,91,0,0,1,0,0,17,4,1,0,0,0
Michael Hooper,Waratahs,6,0,2,0,93,50,238,13,2,4,12,4,38,0,0,1,9,0
Karmichael Hunt,Waratahs,6,0,1,0,90,31,244,0,0,5,6,9,63,0,0,7,85,0
Pieter Jansen,Lions,6,0,0,0,18,13,72,0,1,0,1,0,1,0,0,0,0,0
Elton Jantjies,Lions,6,1,2,42,229,33,277,0,3,2,8,2,140,0,0,49,1793,0
Solomone Kata,Brumbies,6,5,1,25,50,31,283,1,3,2,15,2,13,0,0,1,10,0
Andrew Kellaway,Rebels,6,7,1,35,57,31,383,0,9,0,8,4,16,0,0,5,138,1
Du'Plessis Kirifi,Hurricanes,6,0,0,0,63,28,163,1,1,1,3,1,25,0,0,0,0,0
Steven Kitshoff,Stormers,6,1,0,5,51,41,186,1,3,0,7,0,4,0,0,0,0,0
Marika Koroibete,Rebels,6,2,0,10,59,34,319,2,4,1,11,9,28,0,0,2,60,0
Johnny Kotze,Bulls,6,0,0,0,62,34,362,0,6,2,14,0,20,0,0,2,15,1
Marcos Kremer,Jaguares,6,1,0,5,65,54,235,3,1,1,4,1,7,4,0,0,0,0
Daniel Kriel,Lions,6,2,0,10,70,41,248,0,2,2,8,3,29,0,0,1,27,0
