Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Nahuel Tetaz Chaparro,Jaguares,5,0,0,0,10,10,36,0,0,0,2,0,0,0,0,0,0,0
Siate Tokolahi,Highlanders,5,0,0,0,19,16,59,0,0,1,2,1,4,0,0,0,0,0
Matt To'omua,Rebels,5,0,2,36,124,14,93,0,0,6,2,4,64,0,0,40,1286,1
Kaleb Trask,Chiefs,5,1,0,11,52,7,29,0,0,0,3,0,32,0,0,13,528,1
Christopher Van Zyl,Stormers,5,0,0,0,16,15,62,1,0,0,0,1,6,8,1,0,0,0
Isaia Walker-Leawere,Hurricanes,5,0,0,0,26,18,95,1,0,0,4,2,18,9,3,0,0,0
Jeremy Ward,Sharks,5,0,0,0,12,7,41,0,0,1,1,3,7,0,0,0,0,0
Brad Weber,Chiefs,5,3,1,15,250,19,146,1,3,2,8,2,205,0,0,25,590,2
Tom Wright,Brumbies,5,4,0,20,31,19,266,1,4,1,8,3,8,0,0,2,39,0
Dane Zander,Reds,5,0,0,0,9,7,25,0,0,0,0,0,2,0,0,0,0,0
Willem Alberts,Lions,4,0,0,0,33,23,85,0,0,0,2,2,7,4,0,0,0,0
Michael Allardice,Chiefs,4,0,0,0,20,10,35,4,0,0,2,2,11,11,0,1,15,0
Tyler Ardron,Chiefs,4,0,0,0,27,17,62,2,0,0,1,0,17,16,1,0,0,0
Fraser Armstrong,Hurricanes,4,0,0,0,10,8,26,0,0,0,0,0,1,0,0,0,0,0
Scott Barrett,Crusaders,4,0,1,0,41,26,114,1,0,1,3,0,19,9,2,0,0,0
Gonzalo Bertranou,Jaguares,4,0,0,0,184,8,49,0,1,0,1,1,161,0,0,10,199,2
Otere Black,Blues,4,0,1,42,109,12,70,0,0,7,3,1,70,0,0,27,777,0
Sebastian Cancelliere,Jaguares,4,1,0,5,31,18,194,0,2,0,5,5,13,0,0,1,8,0
Santiago Carreras,Jaguares,4,1,1,5,62,32,311,0,5,1,10,5,23,0,0,7,278,0
Tomas Cubelli,Jaguares,4,1,0,5,223,10,74,0,2,1,4,1,192,0,0,16,442,1
Thomas Cusack,Brumbies,4,1,0,5,19,6,60,0,2,0,4,1,10,0,0,0,0,0
Jannie du Plessis,Lions,4,0,0,0,16,13,34,4,0,0,0,3,5,0,0,0,0,0
Cabous Eloff,Rebels,4,0,0,0,15,10,27,1,0,0,1,0,4,0,0,0,0,0
Corniel Els,Bulls,4,0,0,0,11,9,27,0,0,1,1,0,2,0,0,0,0,0
Andries Ferreira,Bulls,4,0,0,0,21,18,61,0,0,0,0,0,3,3,0,0,0,0
Shannon Frizell,Highlanders,4,0,0,0,24,17,108,3,1,0,6,5,12,4,0,0,0,0
Jake Gordon,Waratahs,4,0,1,0,203,12,85,0,1,1,6,1,172,0,0,16,434,0
Francisco Gorrissen,Jaguares,4,0,0,0,27,20,87,1,0,1,0,0,11,8,1,0,0,0
Kayne Hammington,Highlanders,4,0,0,0,66,3,3,0,0,0,0,0,59,0,0,2,53,0
David Havili,Crusaders,4,0,2,30,94,39,355,2,4,6,21,13,47,0,0,14,308,2
Sione Havili,Crusaders,4,2,0,10,25,19,121,1,2,0,9,1,6,1,1,0,0,0
Dillon Hunt,Highlanders,4,1,0,5,16,9,43,0,1,0,3,0,6,0,0,0,0,0
Rieko Ioane,Blues,4,4,2,20,81,43,336,0,9,2,18,4,33,0,0,1,20,0
Juandre Kruger,Bulls,4,0,0,0,22,11,50,1,1,0,0,0,19,19,0,1,36,0
Tony Lamborn,Blues,4,1,0,5,16,11,86,4,1,0,2,0,3,0,0,1,42,0
James Lentjes,Highlanders,4,0,0,0,22,11,39,2,0,0,0,1,7,2,0,0,0,0
Ezekiel Lindenmuth,Blues,4,0,0,0,12,11,43,0,0,0,2,1,2,0,0,0,0,0
Andrew Makalio,Crusaders,4,0,0,0,14,11,54,0,0,0,0,1,4,0,0,0,0,0
Juan Cruz Mallia,Jaguares,4,0,0,0,48,18,94,0,0,1,2,0,28,0,0,3,26,2
Scott Malolua,Reds,4,0,1,0,205,9,72,1,0,1,1,4,190,0,0,6,119,0
Nic Mayhew,Sunwolves,4,0,0,0,12,7,20,1,0,0,0,2,6,0,0,0,0,0
Damian McKenzie,Chiefs,4,1,3,24,100,24,219,0,4,4,15,5,50,0,0,22,686,0
Fraser McReight,Reds,4,0,0,0,31,21,136,0,1,1,5,2,10,0,0,0,0,0
Steven Misa,Rebels,4,0,0,0,21,17,57,1,0,0,4,1,4,0,0,1,20,0
Joe Moody,Crusaders,4,1,0,5,16,12,53,1,1,0,3,1,3,0,0,0,0,0
Richie Mo'unga,Crusaders,4,1,1,14,117,14,179,0,2,3,1,2,83,0,0,20,496,1
Shunsuke Nunomaki,Sunwolves,4,0,0,0,27,16,63,3,0,0,2,5,14,0,0,0,0,0
Reuben O'Neill,Chiefs,4,0,0,0,3,1,5,0,0,0,0,0,1,0,0,0,0,0
Jacob Pierce,Blues,4,0,0,0,27,21,63,4,0,0,1,1,7,6,0,0,0,0
Pouri Rakete-Stones,Hurricanes,4,0,0,0,11,10,44,0,1,0,3,0,0,0,0,0,0,0
Tom Robertson,Waratahs,4,0,0,0,12,7,22,2,0,0,2,1,4,0,0,0,0,0
Divan Rossouw,Bulls,4,0,1,0,15,6,54,0,1,0,4,1,5,0,0,5,193,1
Jeandre Rudolph,Bulls,4,1,0,5,28,21,102,4,1,1,4,0,4,0,0,1,27,0
JD Schickerling,Stormers,4,0,0,0,12,9,38,0,0,0,1,0,12,13,1,0,0,0
Santiago Socino,Jaguares,4,2,0,10,17,9,30,0,1,0,1,0,4,0,0,0,0,0
Chad Solomon,Stormers,4,0,0,0,5,4,38,0,1,0,1,0,0,0,0,0,0,0
Ruan Steenkamp,Bulls,4,0,0,0,20,14,59,2,0,0,1,0,5,2,0,0,0,0
Shaun Stevenson,Chiefs,4,3,3,15,45,21,281,2,5,0,7,3,12,0,0,12,405,2
Te Toiroa Tahuriorangi,Chiefs,4,1,3,5,172,8,40,0,1,4,3,3,155,0,0,11,311,1
Vincent Tshituka,Lions,4,0,0,0,37,28,119,0,0,0,2,0,7,2,0,0,0,0
Quinn Tupaea,Chiefs,4,1,0,5,30,21,215,0,3,0,14,1,6,0,0,1,51,0
Tevita Tupou,Sunwolves,4,0,0,0,20,13,77,1,0,2,4,2,7,0,0,0,0,0
Isi Tu'ungafasi,Crusaders,4,0,0,0,12,8,23,1,0,0,0,0,4,0,0,0,0,0
Alistair Vermaak,Stormers,4,0,0,0,1,1,7,0,0,0,1,0,0,0,0,0,0,0
Sean Wainui,Chiefs,4,2,0,10,49,27,149,0,1,1,3,2,15,0,0,4,107,0
Andre Warner,Lions,4,1,1,5,276,10,75,1,1,1,5,2,250,0,0,18,517,1
Jack Whetton,Highlanders,4,0,0,0,10,7,25,0,0,0,0,0,6,5,0,0,0,0
Cobus Wiese,Stormers,4,0,0,0,7,5,16,1,0,0,0,0,1,2,0,0,0,0
Matias Alemanno,Jaguares,3,0,0,0,10,7,31,0,0,0,1,0,6,12,1,0,0,0
Aaron Carroll,Blues,3,0,0,0,17,10,49,1,1,0,0,1,8,3,0,0,0,0
Dane Coles,Hurricanes,3,1,0,5,8,5,31,2,1,1,0,1,2,0,0,0,0,0
Filipo Daugunu,Reds,3,0,0,0,18,16,121,0,1,1,5,2,2,0,0,0,0,0
Jeronimo de la Fuente,Jaguares,3,0,0,0,32,15,66,0,0,1,3,0,17,0,0,0,0,0
Andrew Deegan,Rebels,3,1,2,14,43,6,34,0,1,3,1,1,27,0,0,8,266,0
Bautista Delguy,Jaguares,3,0,0,0,31,22,169,1,2,0,6,1,6,0,0,1,28,0
Joaquin Diaz Bonilla,Jaguares,3,0,5,11,73,4,29,0,1,2,2,1,43,0,0,23,652,0
Josh Dickson,Highlanders,3,0,0,0,16,13,47,0,0,0,0,0,19,18,1,0,0,0
Whetukamokamo Douglas,Crusaders,3,0,0,0,36,21,76,1,0,0,0,4,25,12,2,0,0,0
Tom English,Rebels,3,0,0,0,21,12,74,0,1,0,1,4,11,0,0,2,20,1
Chris Eves,Sunwolves,3,0,0,0,18,13,33,2,0,1,1,2,6,0,0,0,0,0
Folau Fainga'a,Brumbies,3,5,0,25,23,15,54,0,2,0,4,1,5,0,0,0,0,0
Jackson Garden-Bachop,Hurricanes,3,0,1,2,66,9,83,0,0,1,0,1,37,0,0,21,742,0
Josh Goodhue,Blues,3,0,0,0,16,11,35,0,0,0,0,0,7,3,0,0,0,0
Reece Hodge,Rebels,3,0,0,2,13,8,36,0,0,1,0,0,2,0,0,2,81,0
Harry Hoopert,Reds,3,1,0,5,8,5,27,1,0,0,2,0,3,0,0,0,0,0
Akira Ioane,Blues,3,1,0,5,18,14,47,2,1,0,2,1,5,1,0,0,0,0
Will Jordan,Crusaders,3,2,0,10,54,24,212,2,3,2,6,2,20,0,0,10,257,1
Bayley Kuenzle,Brumbies,3,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,79,0
Harrison Lloyd,Brumbies,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachlan Lonergan,Brumbies,3,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0
Lisati Milo-Harris,Chiefs,3,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0
Joshua Nasser,Reds,3,1,0,5,5,3,32,0,0,0,0,0,1,0,0,0,0,0
S'busiso Nkosi,Sharks,3,1,0,5,21,12,84,0,0,0,3,0,3,0,0,4,163,0
Burger  Odendaal,Bulls,3,0,0,0,31,16,112,0,2,1,2,3,10,0,0,4,96,1
Javier Ortega Desio,Jaguares,3,1,0,5,6,4,27,0,0,0,2,1,4,1,0,0,0,0
Ryno Pieterse,Bulls,3,0,0,0,8,7,34,0,0,0,0,0,0,0,0,0,0,0
James Ramm,Waratahs,3,1,0,5,24,15,181,0,3,0,6,0,3,0,0,3,133,0
Shaun Reynolds,Lions,3,0,0,0,14,10,47,0,0,1,1,2,5,0,0,0,0,0
Ricky Riccitelli,Hurricanes,3,0,0,0,16,8,33,1,0,0,0,0,6,0,0,0,0,0
Tom Ross,Brumbies,3,0,0,0,7,6,19,0,0,0,0,0,1,0,0,0,0,0
Wandisile Simelane,Lions,3,0,0,0,24,18,109,0,0,1,2,0,6,0,0,1,25,0
Ruan Smith,Rebels,3,0,0,0,16,10,39,0,0,0,4,1,7,0,0,0,0,0
Moses Sorovi,Reds,3,0,0,0,19,2,21,0,0,0,1,0,15,0,0,1,51,0
Theo Strang,Rebels,3,0,1,0,20,3,24,0,0,1,1,1,20,0,0,0,0,0
Darcy Swain,Brumbies,3,0,0,0,11,7,25,1,0,0,0,0,10,11,0,0,0,0
Rob Thompson,Highlanders,3,0,2,0,38,22,140,2,2,2,7,3,14,0,0,3,81,0
Jamba Ulengo,Lions,3,1,0,5,32,24,217,1,2,0,1,0,3,0,0,3,109,0
Marco van Staden,Bulls,3,1,0,5,39,31,121,3,0,1,8,2,9,0,0,0,0,0
Kobus van Wyk,Hurricanes,3,4,0,20,27,18,133,1,3,0,10,1,7,0,0,0,0,0
Ruan Vermaak,Lions,3,0,1,0,25,12,44,0,0,1,0,0,10,0,0,0,0,0
Wian Vosloo,Bulls,3,0,0,0,8,6,15,1,0,0,0,0,1,1,0,0,0,0
Tei Walden,Highlanders,3,0,1,0,9,4,26,0,0,1,0,0,5,0,0,0,0,0
Kwenzokuhle Blose,Stormers,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phendulani Buthelezi,Sharks,2,0,0,0,4,4,11,0,0,0,0,1,2,1,0,0,0,0
Gerard Cowley Tuioti,Blues,2,1,0,5,15,12,55,0,0,0,1,0,5,4,0,0,0,0
Ed Craig,Reds,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Agustin Creevy,Jaguares,2,2,0,10,15,11,51,1,1,0,4,0,0,0,0,0,0,0
Paul de Wet,Stormers,2,1,0,5,37,2,18,0,0,0,1,0,30,0,0,3,78,0
Ereatara Enari,Crusaders,2,0,0,0,92,1,4,0,0,0,0,0,86,0,0,4,98,0
Felipe Ezcurra,Jaguares,2,0,0,0,57,2,6,0,0,0,0,1,51,0,0,4,133,0
Tima Fainga'anuku,Highlanders,2,0,0,0,12,8,106,0,0,0,3,1,3,0,0,0,0,0
Nick Frost,Brumbies,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Johan Grobbelaar,Bulls,2,0,0,0,11,6,16,2,0,0,0,0,4,0,0,0,0,0
John Adrian Groenewald,Bulls,2,0,0,0,10,7,26,0,0,0,0,0,3,1,0,0,0,0
Jordan Hyland,Blues,2,0,0,0,12,9,77,0,0,1,1,0,2,0,0,0,0,0
Ben Hyne,Sunwolves,2,1,0,5,11,10,44,0,1,0,2,1,4,2,0,0,0,0
Marius Louw,Sharks,2,0,0,0,5,3,28,0,0,0,0,0,2,0,0,0,0,0
Tevita Mafileo,Hurricanes,2,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
Campbell Magnay,Rebels,2,0,0,0,11,8,55,1,0,0,0,0,2,0,0,0,0,0
Mzamo Majola,Sharks,2,1,0,5,8,5,29,0,1,0,3,0,2,0,0,0,0,0
Tumua Manu,Chiefs,2,1,0,5,12,8,125,0,1,0,3,2,5,0,0,2,79,0
Manasa Mataele,Crusaders,2,0,0,0,12,4,33,0,1,1,3,2,5,0,0,2,84,0
Duncan Matthews,Lions,2,0,0,0,24,13,78,0,0,0,2,1,10,0,0,1,48,0
Ben May,Hurricanes,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Brodie McAlister,Crusaders,2,0,1,0,13,9,34,1,0,0,2,1,5,0,0,0,0,0
Lachlan McCaffrey,Brumbies,2,0,0,0,5,3,9,0,0,0,0,0,2,0,0,0,0,0
Michael McDonald,Waratahs,2,0,0,0,31,0,0,0,0,0,0,0,30,0,0,0,0,0
Dallas McLeod,Crusaders,2,0,0,0,34,12,119,0,3,1,2,0,17,0,0,0,0,0
Lwazi Mvovo,Sharks,2,0,0,0,9,6,46,0,0,0,0,0,1,0,0,0,0,0
Abongile Nonkontwana,Bulls,2,0,0,0,5,2,12,0,0,0,0,0,3,4,0,0,0,0
Xavier Numia,Hurricanes,2,0,0,0,9,8,41,0,0,0,0,0,1,0,0,0,0,0
Brendon O'Connor,Sunwolves,2,0,0,0,7,1,5,0,0,0,0,0,4,2,0,0,0,0
Rory O'Connor,Waratahs,2,0,0,0,3,2,6,0,0,0,0,1,1,0,0,0,0,0
Conan O'Donnell,Highlanders,2,0,0,0,8,8,24,1,0,0,2,0,0,0,0,0,0,0
Jumpei Ogura,Sunwolves,2,0,0,7,26,5,29,0,0,1,0,1,19,0,0,1,15,0
Reesjan Pasitoa,Brumbies,2,0,0,2,8,3,25,0,1,0,0,0,4,0,0,0,0,0
Jordan Petaia,Reds,2,0,0,0,15,14,103,1,0,0,3,3,3,0,0,0,0,0
Rikus Pretorius,Stormers,2,0,0,0,3,1,5,0,0,0,0,0,2,0,0,0,0,0
Reed Prinsep,Hurricanes,2,0,0,0,16,12,49,0,0,0,0,0,5,2,0,0,0,0
Toni Pulu,Brumbies,2,1,0,5,8,6,57,0,2,1,4,1,1,0,0,0,0,0
Marcel Renata,Blues,2,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0
Dylan Richardson,Sharks,2,1,0,5,19,11,59,1,1,0,5,0,2,0,0,0,0,0
Manaaki Selby-Rickit,Highlanders,2,0,0,0,14,11,48,0,0,0,1,1,5,3,0,0,0,0
Dillon Smit,Lions,2,0,0,0,53,0,0,0,0,0,0,0,53,0,0,0,0,0
Patrick Tafa,Waratahs,2,0,0,0,11,9,32,1,0,0,2,0,3,2,0,0,0,0
Yoshizumi Takeda,Sunwolves,2,0,0,0,13,4,48,0,0,0,2,2,7,0,0,2,50,0
Jeff Thwaites,Highlanders,2,0,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0
Luteru Tolai,Blues,2,0,0,0,4,3,17,0,0,0,0,0,1,0,0,0,0,0
Nafi Tuitavake,Bulls,2,0,0,0,19,14,93,0,0,0,3,1,4,0,0,0,0,0
Jordan Uelese,Rebels,2,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0
Seru Uru,Reds,2,0,0,0,1,1,3,1,0,0,0,0,1,1,0,0,0,0
Muller Uys,Bulls,2,0,1,0,17,14,80,1,1,0,2,0,4,2,0,0,0,0
Frans van Wyk,Lions,2,0,0,0,7,2,3,0,0,0,0,0,3,0,0,0,0,0
Tomas Albornoz,Jaguares,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,140,0
Leni Apisai,Sunwolves,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Fergus Burke,Crusaders,1,1,0,9,11,4,17,0,1,0,2,0,5,0,0,0,0,0
Mateo Carreras,Jaguares,1,0,0,0,19,10,80,0,1,0,2,1,5,0,0,6,224,0
Boeta Chamberlain,Sharks,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,44,0
Cameron Clark,Waratahs,1,0,0,0,5,1,4,0,0,0,0,0,3,0,0,0,0,0
Ryan Coxon,Chiefs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Diaz,Jaguares,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0
Tiaan Falcon,Chiefs,1,0,0,0,7,2,14,0,0,0,0,1,6,0,0,0,0,0
Feao Fotuaika,Reds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Gregory,Highlanders,1,1,0,5,4,2,18,0,1,0,1,0,1,0,0,0,0,0
Santiago Grondona,Jaguares,1,0,0,0,4,2,14,0,0,1,0,0,2,0,0,0,0,0
Alex Hodgman,Blues,1,0,0,0,4,4,16,0,0,0,1,0,0,0,0,0,0,0
Alex Horan,Sunwolves,1,0,0,0,4,3,28,0,0,0,1,0,0,0,0,0,0,0
Len Ikitau,Brumbies,1,0,0,0,2,1,5,0,0,0,1,0,1,0,0,0,0,0
Josh Iosefa-Scott,Highlanders,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Jackson-Hope,Sunwolves,1,0,0,0,11,6,56,0,0,0,1,1,4,0,0,1,42,0
Luke Jacobson,Chiefs,1,0,0,0,2,2,9,0,0,0,1,0,1,1,0,0,0,0
Marco Jansen van Vuuren,Bulls,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Luke Jones,Rebels,1,0,0,0,5,2,12,0,0,0,0,0,4,3,0,0,0,0
Takahiro Kimura,Sunwolves,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Siya Kolisi,Stormers,1,0,0,0,3,2,11,0,0,0,0,0,1,0,0,0,0,0
Kirisi Kuridrani,Highlanders,1,0,0,0,5,4,35,0,0,0,1,1,2,0,0,0,0,0
Nepo Laulala,Chiefs,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Orbyn Leger,Chiefs,1,0,0,0,7,3,21,0,0,0,1,0,5,1,0,0,0,0
Siosifa Lisala,Waratahs,1,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0
Donald Maka,Chiefs,1,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0
James Marshall,Hurricanes,1,0,0,0,8,2,6,0,0,0,0,0,6,0,0,0,0,0
Simphiwe Matanzima,Bulls,1,0,0,0,5,4,12,0,0,0,1,0,0,0,0,0,0,0
Bongi Mbonambi,Stormers,1,0,0,0,4,4,17,0,0,0,1,0,0,0,0,0,0,0
Sam McNicol,Chiefs,1,0,0,0,6,2,15,0,0,0,1,0,1,0,0,2,108,0
David Meihuzen,Stormers,1,0,0,0,3,3,7,1,0,0,0,0,1,1,0,0,0,0
Liam Mitchell,Hurricanes,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Tepai Moeroa,Waratahs,1,0,0,0,3,3,17,0,0,0,0,1,1,0,0,0,0,0
Franco Naude,Bulls,1,0,0,0,8,6,57,0,0,2,2,2,2,0,0,0,0,0
Dylan Nel,Chiefs,1,0,0,0,5,2,15,0,0,0,1,0,4,1,0,0,0,0
Ray Niuia,Blues,1,0,0,0,7,5,18,0,0,0,2,0,2,0,0,0,0,0
Oliver Norris,Chiefs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matias Orlando,Jaguares,1,0,0,0,5,2,14,0,0,0,0,0,2,0,0,0,0,0
Brandon Paenga-Amosa,Reds,1,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0
Pari Pari Parkinson,Highlanders,1,0,0,0,3,2,4,0,0,0,0,0,1,0,0,0,0,0
Juan Bautista Pedemonte,Jaguares,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngane Punivai,Highlanders,1,0,0,0,6,4,28,0,0,0,2,0,1,0,0,0,0,0
Hugh Roach,Crusaders,1,0,0,0,4,3,9,0,0,0,0,1,2,0,0,0,0,0
Ethan Roots,Crusaders,1,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
Fereti Sa'aga,Rebels,1,0,0,0,5,3,9,1,0,0,0,0,2,0,0,0,0,0
Lucio Sordoni,Jaguares,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Tiaan Swanepoel,Lions,1,0,0,0,15,6,25,0,0,0,0,0,4,0,0,2,106,0
Angus Ta'avao,Chiefs,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris Talakai,Waratahs,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Jonathan Taumateine,Hurricanes,1,0,0,0,20,3,26,0,0,0,2,1,18,0,0,0,0,0
Corey Thomas,Sunwolves,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Adam Thomson,Chiefs,1,0,0,0,5,2,4,1,0,0,0,0,7,6,0,0,0,0
Chase Tiatia,Hurricanes,1,2,2,12,19,6,84,0,3,1,3,1,11,0,0,1,36,0
Carlo Tizzano,Waratahs,1,0,0,0,2,2,14,1,0,0,0,0,0,0,0,0,0,0
Patelesio Tomkinson,Highlanders,1,0,0,0,3,2,21,0,0,0,0,0,0,0,0,1,46,0
Andrew Tuala,Waratahs,1,0,0,0,4,3,16,0,0,0,0,0,1,0,0,0,0,0
Joaquin Tuculet,Jaguares,1,1,1,5,16,7,28,0,1,1,0,2,7,0,0,2,54,0
Peter Umaga-Jensen,Hurricanes,1,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0
Joe Walsh,Blues,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyo Yoshida,Sunwolves,1,0,0,0,3,2,9,0,0,0,0,0,1,0,0,0,0,0
