Name,Club,Games,Turnovers,Handling Errors,Penalties Conceded,Yellow Cards,Red Cards,Tackles,Missed Tackles,Ineffective Tackles,Tackle Efficiency %,Pilfers,Forced Penalties,Forced Ruck & Maul Penalties
Elton Jantjies,Lions,6,5,8,0,0,0,19,11,3,57,0,0,0
Solomone Kata,Brumbies,6,2,2,3,0,0,16,3,4,69,0,0,0
Andrew Kellaway,Rebels,6,3,1,2,0,0,15,3,6,62,0,0,0
Du'Plessis Kirifi,Hurricanes,6,8,6,9,0,0,64,5,5,86,1,4,4
Steven Kitshoff,Stormers,6,1,1,5,0,0,35,5,2,83,1,2,2
Marika Koroibete,Rebels,6,7,8,5,1,0,20,10,5,57,0,0,0
Johnny Kotze,Bulls,6,6,5,2,1,0,36,11,3,72,0,0,0
Marcos Kremer,Jaguares,6,2,3,5,1,0,74,9,3,86,0,3,3
Daniel Kriel,Lions,6,2,2,1,0,0,33,6,5,75,0,0,0
Tevita Kuridrani,Brumbies,6,2,2,3,0,0,37,7,9,69,0,0,0
Ben Lam,Hurricanes,6,5,3,0,0,0,14,3,4,66,1,0,0
Ngani Laumape,Hurricanes,6,7,9,2,0,0,26,4,3,78,0,1,1
Rob Leota,Rebels,6,0,0,1,0,0,22,0,0,100,0,1,1
Dillyn Leyds,Stormers,6,6,4,1,0,0,16,2,3,76,0,0,0
Tomas Lezana,Jaguares,6,1,1,1,0,0,51,8,3,82,0,0,0
Noah Lolesio,Brumbies,6,5,5,0,0,0,22,7,3,68,0,1,1
Ryan Lonergan,Brumbies,6,2,2,2,0,0,17,2,5,70,0,0,0
Wilco Louw,Stormers,6,0,0,3,0,0,25,4,0,86,0,0,0
Jack Maddocks,Waratahs,6,7,6,0,0,0,17,5,2,70,0,0,0
Frans Malherbe,Stormers,6,1,1,4,1,0,46,11,1,79,0,0,0
Makazole Mapimpi,Sharks,6,6,3,3,0,0,19,3,4,73,0,0,0
Joe Marchant,Blues,6,2,2,2,0,0,19,9,5,57,0,0,0
Len Massyn,Lions,6,2,2,2,0,0,45,7,3,81,1,1,1
Connal McInerney,Brumbies,6,2,1,2,0,0,45,6,3,83,0,1,1
Bill Meakes,Rebels,6,2,2,2,1,0,54,10,4,79,0,0,0
John-Hubert Meyer,Sharks,6,0,0,4,0,0,22,3,1,84,0,0,0
Will Miller,Brumbies,6,0,0,3,0,0,47,8,1,83,2,2,2
Domingo Miotti,Jaguares,6,3,5,0,0,0,27,6,6,69,0,0,0
Salmaan Moerat,Stormers,6,2,2,4,0,0,49,4,5,84,0,1,1
Julian Montoya,Jaguares,6,4,1,1,0,0,35,2,0,94,1,1,1
Keisuke Moriya,Sunwolves,6,4,4,0,0,0,26,20,1,55,0,0,0
Matias Moroni,Jaguares,6,4,3,2,0,0,33,7,4,75,0,2,2
Isireli Naisarani,Rebels,6,3,3,5,0,0,55,10,1,83,0,3,3
Alex Nankivell,Chiefs,6,3,3,1,0,0,34,5,4,79,0,0,0
Ruhan Nel,Stormers,6,6,5,2,0,0,26,8,3,70,0,0,0
Cadeyrn Neville,Brumbies,6,2,3,6,0,0,54,0,1,98,0,1,1
Alex Newsome,Waratahs,6,4,2,3,0,0,29,11,5,64,1,0,0
Ruan Nortje,Bulls,6,2,1,3,0,0,37,3,2,88,0,0,0
Scarra Ntubeni,Stormers,6,4,1,2,0,0,42,9,1,80,0,0,0
Trevor Nyakane,Bulls,6,0,0,4,0,0,23,1,1,92,0,2,2
James O'Connor,Reds,6,7,9,0,0,0,28,5,0,84,0,0,0
Marvin Orie,Lions,6,5,4,3,0,0,50,10,4,78,0,0,0
Cameron Orr,Rebels,6,2,2,1,0,0,13,2,3,72,0,0,0
Hunter Paisami,Reds,6,5,5,2,0,0,31,7,5,72,1,0,0
Dalton Papali'i,Blues,6,2,2,3,0,0,46,1,7,85,2,0,0
Embrose Papier,Bulls,6,0,0,2,0,0,17,3,4,70,0,0,0
Tyler Paul,Sharks,6,1,1,2,0,0,34,4,0,89,2,0,0
Lucas Paulos,Jaguares,6,4,3,1,0,0,37,4,0,90,1,0,0
TJ Perenara,Hurricanes,6,3,1,3,1,0,31,7,2,77,0,2,2
Sergeal Petersen,Stormers,6,4,2,3,0,0,15,7,1,65,0,0,0
Guido Petti,Jaguares,6,3,2,1,0,0,36,0,2,94,0,0,0
Matt Philip,Rebels,6,6,4,5,0,0,39,2,3,88,0,0,0
Joe Powell,Brumbies,6,1,1,2,0,0,41,6,2,83,0,0,0
Anaru Rangi,Rebels,6,6,2,4,0,0,34,8,5,72,1,0,0
Sevu Reece,Crusaders,6,7,5,2,1,0,21,8,4,63,0,0,0
Jamie Roberts,Stormers,6,2,2,1,0,0,40,7,1,83,0,0,0
Tom Robinson,Blues,6,3,1,2,0,0,47,8,7,75,1,0,0
Luke Romano,Crusaders,6,3,2,6,0,0,25,2,1,89,1,0,0
Aiden Ross,Chiefs,6,1,1,6,0,0,60,8,1,86,0,0,0
Carlu Sadie,Lions,6,0,0,7,0,0,27,2,2,87,0,1,1
Naoto Saito,Sunwolves,6,2,3,0,0,0,17,5,2,70,0,0,0
Peter Samu,Brumbies,6,3,3,4,0,0,45,7,6,77,1,0,0
Tom Sanders,Crusaders,6,4,3,6,1,0,61,9,5,81,1,1,1
Jake Schatz,Sunwolves,6,2,1,4,0,0,44,7,8,74,0,0,0
Marnus Schoeman,Lions,6,5,4,7,0,0,57,6,5,83,5,3,3
Joel Sclavi,Jaguares,6,0,0,4,0,0,16,2,1,84,0,0,0
Angus Scott-Young,Reds,6,1,1,4,0,0,46,4,2,88,0,0,0
Seabelo Senatla,Stormers,6,1,1,1,0,0,27,9,3,69,0,1,1
Sithembiso Sithole,Lions,6,0,0,1,0,0,14,0,0,100,0,0,0
James Slipper,Brumbies,6,1,0,2,1,0,37,3,5,82,0,0,0
Dylan Smith,Lions,6,0,0,0,0,0,33,6,0,84,0,0,0
Fletcher Smith,Hurricanes,6,5,5,2,0,0,12,4,2,66,0,0,0
Jean-Pierre Smith,Reds,6,2,2,4,0,0,36,4,1,87,0,0,0
Hoskins Sotutu,Blues,6,5,8,5,2,0,39,3,3,86,0,2,2
Rosko Specman,Bulls,6,4,5,3,0,0,16,3,5,66,0,0,0
Tom Staniforth,Waratahs,6,1,1,2,0,0,69,3,3,92,0,0,0
Morne Steyn,Bulls,6,4,4,1,0,0,35,4,3,83,0,0,0
Michael Stolberg,Sunwolves,6,5,4,4,0,0,74,12,5,81,0,0,0
Joshua Strauss,Bulls,6,3,3,4,0,0,46,3,3,88,0,0,0
Lachlan Swinton,Waratahs,6,6,6,4,1,0,57,10,7,77,0,0,0
Samisoni Taukei'aho,Chiefs,6,4,1,3,0,0,35,5,4,79,1,0,0
Karl Tu'inukuafe,Blues,6,2,1,8,0,0,20,6,0,76,0,0,0
Patrick Tuipulotu,Blues,6,6,7,2,0,0,44,6,1,86,0,0,0
Ofa Tu'ungafasi,Blues,6,1,1,4,0,0,36,3,1,90,0,1,1
Rob Valetini,Brumbies,6,0,0,3,0,0,45,11,5,73,0,2,2
Morne van den Berg,Lions,6,4,3,0,0,0,12,4,5,57,0,1,1
Wilhelm van der Sluys,Lions,6,2,1,2,0,0,11,3,0,78,0,0,0
Ernst Van Rhyn,Stormers,6,2,1,1,0,0,29,9,1,74,0,0,0
Conraad Van Vuuren,Sunwolves,6,0,0,6,0,0,39,9,6,72,0,0,0
Hencus van Wyk,Sunwolves,6,3,4,0,0,0,28,5,1,82,1,0,0
Ivan van Zyl,Bulls,6,2,2,1,0,0,15,1,3,78,0,0,0
Henco Venter,Sharks,6,0,0,3,0,0,17,3,4,70,0,0,0
James Venter,Sharks,6,1,1,3,0,0,66,0,3,95,2,1,1
Jaco Visagie,Bulls,6,5,0,3,0,0,45,12,2,76,0,0,0
Mayco Vivas,Jaguares,6,0,0,3,0,0,31,3,0,91,0,0,0
Michael Wells,Rebels,6,0,1,1,0,0,38,1,3,90,0,1,1
Damian Willemse,Stormers,6,10,9,3,0,0,33,11,1,73,0,0,0
Kotaro Yatabe,Sunwolves,6,1,1,3,0,0,39,10,5,72,0,0,0
Robbie Abel,Waratahs,5,2,2,2,0,0,28,3,3,82,2,2,2
Jarred Adams,Sunwolves,5,0,0,4,0,0,23,5,0,82,0,1,1
Jermaine Ainsley,Rebels,5,0,0,5,0,0,37,2,1,92,0,0,0
Michael Ala'alatoa,Crusaders,5,1,2,5,0,0,44,6,2,84,0,0,0
Solomon Alaimalo,Chiefs,5,1,1,5,0,0,16,5,1,72,0,0,0
Garth April,Sunwolves,5,4,4,0,0,0,12,9,2,52,0,0,0
Juarno Augustus,Stormers,5,4,1,1,0,0,53,5,2,88,0,0,0
Jordie Barrett,Hurricanes,5,5,5,2,1,0,17,5,1,73,1,0,0
Te Ariki Ben-Nicholas,Highlanders,5,2,2,1,0,0,19,5,2,73,0,0,0
James Blackwell,Hurricanes,5,3,3,1,0,0,29,14,0,67,0,0,0
Jamie Booth,Hurricanes,5,3,3,0,0,0,17,1,2,85,1,0,0
Lachlan Boshier,Chiefs,5,3,2,4,0,0,62,4,3,89,3,10,10
George Bridge,Crusaders,5,9,12,1,0,0,29,1,3,87,0,1,1
Mitchell Brown,Chiefs,5,1,1,5,0,0,76,4,6,88,0,0,0
Brett Cameron,Crusaders,5,2,2,0,0,0,9,4,1,64,0,0,0
Sam Cane,Chiefs,5,0,0,4,0,0,70,10,0,87,1,1,1
Santiago Chocobares,Jaguares,5,3,3,0,0,0,12,1,0,92,0,0,0
Andries Coetzee,Lions,5,2,1,0,0,0,3,4,3,30,0,0,0
Jaco Coetzee,Stormers,5,1,1,4,0,0,30,2,0,93,1,1,1
Mike Collins,Highlanders,5,2,3,2,0,0,14,1,4,73,0,0,0
Liam Coltman,Highlanders,5,3,1,1,0,0,36,1,2,92,0,1,1
Aaron Cruden,Chiefs,5,3,2,1,0,0,37,11,3,72,0,2,2
James Dargaville,Sunwolves,5,6,5,2,0,0,20,13,3,55,0,0,0
Hacjivah Dayimani,Lions,5,2,2,1,0,0,11,2,1,78,0,0,0
Ash Dixon,Highlanders,5,2,0,0,0,0,23,1,3,85,0,2,2
Justin Downey,Sunwolves,5,4,3,3,0,0,47,4,4,85,1,1,1
Mitchell Drummond,Crusaders,5,0,0,1,0,0,23,4,6,69,0,0,0
Jean-Luc du Plessis,Stormers,5,1,1,0,0,0,8,3,0,72,0,0,0
Johan du Toit,Stormers,5,2,1,3,1,0,31,2,2,88,0,0,0
Pieter-Steph du Toit,Stormers,5,2,1,2,0,0,66,14,4,78,0,0,0
JJ Engelbrecht,Sunwolves,5,4,5,0,0,0,14,5,4,60,0,0,0
Braydon Ennor,Crusaders,5,1,2,1,0,0,37,7,3,78,0,0,0
Leicester Fainga'anuku,Crusaders,5,5,6,2,0,0,22,7,2,70,0,0,0
Chris Feauai-Sautia,Reds,5,1,2,3,1,0,16,2,3,76,0,0,0
Alex Fidow,Hurricanes,5,1,1,1,0,0,31,4,2,83,0,0,0
Ross Geldenhuys,Chiefs,5,0,0,1,0,0,16,0,0,100,0,0,0
Matt Gibbon,Rebels,5,2,2,4,0,0,26,5,0,83,1,1,1
Jack Goodhue,Crusaders,5,2,2,0,0,0,35,6,3,79,1,0,0
Wes Goosen,Hurricanes,5,4,4,1,0,0,23,5,2,76,0,0,0
Bryn Hall,Crusaders,5,1,1,1,0,0,15,4,3,68,0,0,0
Cornal Hendricks,Bulls,5,6,7,0,0,0,21,7,2,70,0,0,0
Harry Hockings,Reds,5,4,1,2,0,0,34,3,1,89,1,0,0
Mitch Hunt,Highlanders,5,1,2,0,0,0,21,2,3,80,0,1,1
Josh Ioane,Highlanders,5,3,2,1,0,0,31,13,5,63,0,0,0
Mitch Jacobson,Sunwolves,5,2,2,2,0,0,48,5,6,81,0,0,0
Oliver Jager,Crusaders,5,1,1,3,0,0,28,4,1,84,0,0,0
Herschel Jantjies,Stormers,5,4,3,3,0,0,21,6,5,65,0,0,0
Harry Johnson-Holmes,Waratahs,5,2,1,7,0,0,44,7,0,86,0,1,1
Ayden Johnston,Highlanders,5,0,0,1,0,0,38,3,0,92,0,0,0
Mitch Karpik,Chiefs,5,3,3,3,0,0,46,3,4,86,0,0,0
Gideon Koegelenberg,Rebels,5,2,0,1,0,0,20,2,1,86,0,0,0
Manie Libbok,Bulls,5,1,2,2,0,0,7,3,1,63,0,0,0
Anton Lienert-Brown,Chiefs,5,3,2,2,0,0,45,2,7,83,0,0,0
Daniel Lienert-Brown,Highlanders,5,0,0,4,0,0,26,3,1,86,0,0,0
Frank Lomani,Rebels,5,3,3,0,0,0,8,3,1,66,0,0,0
Tyrel Lomax,Hurricanes,5,2,1,5,0,1,29,5,0,85,0,0,0
Ryan Louwrens,Rebels,5,3,3,1,0,0,17,7,5,58,0,0,0
Efitusi Ma'afu,Sunwolves,5,1,0,2,0,0,30,3,2,85,0,1,1
Godlen Masimla,Stormers,5,1,1,2,0,0,5,3,4,41,0,0,0
Ryan McCauley,Waratahs,5,3,1,0,0,0,16,2,0,88,0,0,0
Josh McKay,Highlanders,5,4,4,3,0,0,14,7,5,53,0,0,0
Santiago Medrano,Jaguares,5,2,1,6,0,0,41,1,2,93,0,0,0
Marino Mikaele-Tu'u,Highlanders,5,8,5,6,0,0,31,8,4,72,1,1,1
Atunaisa Moli,Chiefs,5,0,0,2,0,0,29,10,3,69,0,0,0
Andrew Muirhead,Brumbies,5,4,2,1,0,0,8,4,3,53,0,0,0
Shogo Nakano,Sunwolves,5,2,4,0,0,0,20,7,7,58,0,0,0
Emoni Narawa,Blues,5,2,2,0,0,0,8,1,2,72,0,0,0
Jona Nareki,Highlanders,5,6,5,1,1,0,23,5,3,74,0,0,0
Mark Nawaqanitawase,Waratahs,5,8,7,1,0,0,19,6,6,61,0,1,1
Rudy Paige,Sunwolves,5,1,2,0,0,0,26,8,2,72,0,0,0
Jesse Parete,Highlanders,5,1,1,4,0,0,55,11,2,80,0,2,2
James Parsons,Blues,5,3,1,3,0,0,31,2,0,93,2,1,1
Billy Proctor,Hurricanes,5,1,1,1,1,0,15,2,2,78,1,0,0
Manuel Rass,Lions,5,0,0,4,0,0,27,1,2,90,0,0,0
Izack Rodda,Reds,5,1,0,1,0,0,31,5,2,81,0,0,0
Juan Schoeman,Sharks,5,0,0,2,0,0,8,3,1,66,0,0,0
Ruben Schoeman,Lions,5,1,1,3,1,0,26,4,0,86,1,0,0
Scott Scrafton,Hurricanes,5,0,0,3,0,0,40,6,1,85,0,0,0
Mitch Short,Waratahs,5,3,3,0,0,0,11,5,3,57,0,0,0
Rob Simmons,Waratahs,5,2,3,2,0,0,49,7,1,85,0,0,0
Irae Simone,Brumbies,5,2,3,3,0,0,46,7,9,74,0,0,0
Scott Sio,Brumbies,5,2,2,6,0,0,25,6,1,78,0,0,0
Courtnall Skosan,Lions,5,4,4,1,0,0,13,4,2,68,0,0,0
Bradley Slater,Chiefs,5,2,2,0,0,0,39,7,2,81,0,1,1
Aaron Smith,Highlanders,5,5,7,0,0,0,10,4,3,58,1,0,0
Pita Gus Sowakula,Chiefs,5,2,3,5,0,0,52,11,3,78,0,3,3
Gerhardus Steenekamp,Bulls,5,0,0,1,0,0,14,4,3,66,0,0,0
Madosh Tambwe,Sharks,5,6,3,4,1,0,13,6,2,61,0,0,0
Tautalatasi Tasi,Sunwolves,5,0,1,1,0,0,15,6,5,57,0,2,2
Codie Taylor,Crusaders,5,3,3,2,0,0,47,5,1,88,0,3,3
Ben Te'o,Sunwolves,5,9,9,8,1,0,43,5,2,86,0,0,0
Nahuel Tetaz Chaparro,Jaguares,5,0,0,4,0,0,17,3,2,77,0,0,0
Siate Tokolahi,Highlanders,5,2,2,4,0,0,32,3,1,88,0,0,0
Matt To'omua,Rebels,5,4,3,3,0,0,27,6,3,75,0,0,0
Kaleb Trask,Chiefs,5,0,2,0,0,0,20,2,3,80,0,0,0
Christopher Van Zyl,Stormers,5,1,0,3,0,0,23,1,2,88,0,0,0
Isaia Walker-Leawere,Hurricanes,5,3,2,5,0,0,37,4,0,90,0,0,0
Jeremy Ward,Sharks,5,1,2,0,0,0,16,4,1,76,0,0,0
Brad Weber,Chiefs,5,2,1,3,0,0,17,2,2,80,0,1,1
Tom Wright,Brumbies,5,2,2,1,0,0,7,0,2,77,0,0,0
Dane Zander,Reds,5,0,0,1,0,0,23,5,1,79,0,0,0
Willem Alberts,Lions,4,5,4,2,0,0,19,7,3,65,0,0,0
Michael Allardice,Chiefs,4,3,2,1,0,0,34,5,2,82,0,0,0
Tyler Ardron,Chiefs,4,2,2,4,1,0,33,8,3,75,0,1,1
Fraser Armstrong,Hurricanes,4,1,1,2,0,0,17,5,0,77,0,0,0
Scott Barrett,Crusaders,4,1,1,2,0,0,48,9,1,82,0,0,0
Gonzalo Bertranou,Jaguares,4,1,0,0,1,0,12,4,2,66,0,0,0
Otere Black,Blues,4,0,1,0,0,0,12,5,1,66,0,0,0
Sebastian Cancelliere,Jaguares,4,1,1,1,0,0,16,2,1,84,0,0,0
Santiago Carreras,Jaguares,4,3,3,0,0,0,6,4,1,54,0,0,0
Tomas Cubelli,Jaguares,4,4,5,0,0,0,27,2,1,90,0,0,0
Thomas Cusack,Brumbies,4,0,0,2,0,0,21,7,1,72,0,1,1
Jannie du Plessis,Lions,4,2,2,7,0,0,14,2,1,82,0,0,0
Cabous Eloff,Rebels,4,0,0,2,0,0,11,2,0,84,1,0,0
Corniel Els,Bulls,4,0,0,4,0,0,9,1,3,69,0,0,0
Andries Ferreira,Bulls,4,2,1,3,1,0,20,2,0,90,0,0,0
Shannon Frizell,Highlanders,4,3,2,2,1,0,28,4,0,87,1,0,0
Jake Gordon,Waratahs,4,5,6,1,0,0,24,4,5,72,0,0,0
Francisco Gorrissen,Jaguares,4,1,2,0,0,0,37,2,4,86,0,2,2
Kayne Hammington,Highlanders,4,0,1,1,0,0,10,2,2,71,0,0,0
David Havili,Crusaders,4,7,7,0,0,0,18,6,2,69,0,0,0
Sione Havili,Crusaders,4,2,2,1,0,0,20,4,3,74,0,0,0
Dillon Hunt,Highlanders,4,2,2,1,0,0,27,1,1,93,0,1,1
Rieko Ioane,Blues,4,7,7,3,0,0,16,7,1,66,0,0,0
Juandre Kruger,Bulls,4,0,0,1,0,0,40,1,0,97,0,0,0
Tony Lamborn,Blues,4,1,0,1,0,0,20,2,0,90,0,0,0
James Lentjes,Highlanders,4,0,0,2,0,0,52,6,5,82,0,2,2
Ezekiel Lindenmuth,Blues,4,0,1,4,0,0,12,2,0,85,0,0,0
Andrew Makalio,Crusaders,4,0,1,1,0,0,13,3,1,76,0,0,0
Juan Cruz Mallia,Jaguares,4,3,3,1,0,0,24,2,1,88,0,0,0
Scott Malolua,Reds,4,3,3,0,0,0,15,3,2,75,0,0,0
Nic Mayhew,Sunwolves,4,1,1,6,0,0,25,0,0,100,0,0,0
Damian McKenzie,Chiefs,4,6,9,1,0,0,13,9,1,56,0,0,0
Fraser McReight,Reds,4,3,3,0,0,0,12,2,1,80,1,2,2
Steven Misa,Rebels,4,2,0,0,0,0,10,3,0,76,0,1,1
Joe Moody,Crusaders,4,2,2,4,0,0,34,6,3,79,0,0,0
Richie Mo'unga,Crusaders,4,1,2,3,0,0,27,6,4,72,0,0,0
Shunsuke Nunomaki,Sunwolves,4,1,1,3,0,0,32,6,1,82,1,2,2
Reuben O'Neill,Chiefs,4,1,1,0,0,0,21,0,0,100,0,0,0
Jacob Pierce,Blues,4,1,1,3,0,0,25,5,1,80,2,0,0
Pouri Rakete-Stones,Hurricanes,4,0,0,2,0,0,27,5,0,84,0,0,0
Tom Robertson,Waratahs,4,1,1,2,0,0,14,3,0,82,0,0,0
Divan Rossouw,Bulls,4,1,1,0,0,0,4,1,3,50,0,0,0
Jeandre Rudolph,Bulls,4,2,1,7,0,0,41,4,2,87,1,0,0
JD Schickerling,Stormers,4,1,1,2,0,0,31,1,3,88,0,0,0
Santiago Socino,Jaguares,4,1,1,2,0,0,20,4,0,83,1,1,1
Chad Solomon,Stormers,4,1,0,0,0,0,11,0,0,100,0,0,0
Ruan Steenkamp,Bulls,4,3,2,2,0,0,11,2,1,78,0,0,0
Shaun Stevenson,Chiefs,4,7,6,0,0,0,19,4,2,76,0,0,0
Te Toiroa Tahuriorangi,Chiefs,4,0,0,0,0,0,10,8,3,47,0,0,0
Vincent Tshituka,Lions,4,1,1,0,0,0,29,5,7,70,1,0,0
Quinn Tupaea,Chiefs,4,3,2,0,0,0,21,7,4,65,0,1,1
Tevita Tupou,Sunwolves,4,1,1,3,0,0,20,8,1,68,1,1,1
Isi Tu'ungafasi,Crusaders,4,0,0,1,0,0,15,1,0,93,0,0,0
Alistair Vermaak,Stormers,4,0,0,1,0,0,10,1,1,83,0,0,0
Sean Wainui,Chiefs,4,4,3,0,0,0,16,1,2,84,0,0,0
Andre Warner,Lions,4,2,1,0,0,0,13,6,8,48,0,0,0
Jack Whetton,Highlanders,4,0,0,0,0,0,29,1,0,96,0,0,0
Cobus Wiese,Stormers,4,1,1,2,0,0,15,2,2,78,0,1,1
Matias Alemanno,Jaguares,3,0,0,2,0,0,22,3,0,88,0,0,0
Aaron Carroll,Blues,3,1,1,1,0,0,9,0,0,100,1,0,0
Dane Coles,Hurricanes,3,0,1,3,0,0,16,4,1,76,0,0,0
Filipo Daugunu,Reds,3,0,0,0,0,0,5,0,2,71,0,1,1
Jeronimo de la Fuente,Jaguares,3,1,1,1,0,0,20,6,0,76,0,0,0
