Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Du'Plessis Kirifi,Hurricanes,6,0,0,0,0,-,0,0,-,0,0,0,0
Steven Kitshoff,Stormers,6,0,0,0,0,-,0,0,-,5,0,0,0
Marika Koroibete,Rebels,6,0,0,0,0,-,0,0,-,10,2,60,0
Johnny Kotze,Bulls,6,0,0,0,0,-,0,0,-,0,2,15,1
Marcos Kremer,Jaguares,6,0,0,0,0,-,0,0,-,5,0,0,0
Daniel Kriel,Lions,6,0,0,0,0,-,0,0,-,10,1,27,0
Tevita Kuridrani,Brumbies,6,0,0,0,0,-,0,0,-,5,3,59,1
Ben Lam,Hurricanes,6,0,0,0,0,-,0,0,-,25,3,65,1
Ngani Laumape,Hurricanes,6,0,0,0,0,-,0,0,-,10,8,178,0
Rob Leota,Rebels,6,0,0,0,0,-,0,0,-,0,0,0,0
Dillyn Leyds,Stormers,6,0,1,0,0,0,0,0,-,0,8,357,0
Tomas Lezana,Jaguares,6,0,0,0,0,-,0,0,-,0,2,29,0
Noah Lolesio,Brumbies,6,13,22,1,1,60,1,1,100,32,34,953,4
Ryan Lonergan,Brumbies,6,7,7,1,1,100,0,0,-,22,15,456,0
Wilco Louw,Stormers,6,0,0,0,0,-,0,0,-,0,0,0,0
Jack Maddocks,Waratahs,6,0,0,0,0,-,0,0,-,0,11,524,0
Frans Malherbe,Stormers,6,0,0,0,0,-,0,0,-,0,0,0,0
Makazole Mapimpi,Sharks,6,0,0,0,0,-,0,0,-,25,3,85,0
Joe Marchant,Blues,6,0,0,0,0,-,0,0,-,15,3,73,0
Len Massyn,Lions,6,0,0,0,0,-,0,0,-,0,1,35,0
Connal McInerney,Brumbies,6,0,0,0,0,-,0,0,-,0,0,0,0
Bill Meakes,Rebels,6,0,0,0,0,-,0,0,-,5,2,53,0
John-Hubert Meyer,Sharks,6,0,0,0,0,-,0,0,-,0,0,0,0
Will Miller,Brumbies,6,0,0,0,0,-,0,0,-,5,0,0,0
Domingo Miotti,Jaguares,6,13,14,5,6,90,0,1,0,46,47,1509,0
Salmaan Moerat,Stormers,6,0,0,0,0,-,0,0,-,0,0,0,0
Julian Montoya,Jaguares,6,0,0,0,0,-,0,0,-,15,0,0,0
Keisuke Moriya,Sunwolves,6,0,1,0,0,0,0,0,-,5,15,417,1
Matias Moroni,Jaguares,6,0,0,0,0,-,0,0,-,15,4,63,0
Isireli Naisarani,Rebels,6,0,0,0,0,-,0,0,-,10,0,0,0
Alex Nankivell,Chiefs,6,0,0,0,0,-,0,0,-,0,2,71,1
Ruhan Nel,Stormers,6,0,0,0,0,-,0,0,-,10,2,70,0
Cadeyrn Neville,Brumbies,6,0,0,0,0,-,0,0,-,5,0,0,0
Alex Newsome,Waratahs,6,0,0,0,0,-,0,0,-,5,3,103,0
Ruan Nortje,Bulls,6,0,0,0,0,-,0,0,-,0,0,0,0
Scarra Ntubeni,Stormers,6,0,0,0,0,-,0,0,-,5,0,0,0
Trevor Nyakane,Bulls,6,0,0,0,0,-,0,0,-,0,0,0,0
James O'Connor,Reds,6,0,0,0,0,-,0,0,-,5,34,1240,2
Marvin Orie,Lions,6,0,0,0,0,-,0,0,-,0,0,0,0
Cameron Orr,Rebels,6,0,0,0,0,-,0,0,-,0,0,0,0
Hunter Paisami,Reds,6,0,0,0,0,-,0,0,-,5,3,85,0
Dalton Papali'i,Blues,6,0,0,0,0,-,0,0,-,5,0,0,0
Embrose Papier,Bulls,6,0,0,0,0,-,0,1,0,5,15,397,2
Tyler Paul,Sharks,6,0,0,0,0,-,0,0,-,5,1,8,0
Lucas Paulos,Jaguares,6,0,0,0,0,-,0,0,-,0,0,0,0
TJ Perenara,Hurricanes,6,0,0,0,0,-,0,0,-,5,28,645,2
Sergeal Petersen,Stormers,6,0,0,0,0,-,0,0,-,15,5,57,1
Guido Petti,Jaguares,6,0,0,0,0,-,0,0,-,5,0,0,0
Matt Philip,Rebels,6,0,0,0,0,-,0,0,-,0,1,23,0
Joe Powell,Brumbies,6,0,0,0,0,-,0,0,-,10,21,553,1
Anaru Rangi,Rebels,6,0,0,0,0,-,0,0,-,15,0,0,0
Sevu Reece,Crusaders,6,0,0,0,0,-,0,0,-,20,4,119,0
Jamie Roberts,Stormers,6,0,0,0,0,-,0,0,-,0,1,58,0
Tom Robinson,Blues,6,0,0,0,0,-,0,0,-,5,0,0,0
Luke Romano,Crusaders,6,0,0,0,0,-,0,0,-,10,0,0,0
Aiden Ross,Chiefs,6,0,0,0,0,-,0,0,-,5,0,0,0
Carlu Sadie,Lions,6,0,0,0,0,-,0,0,-,0,0,0,0
Naoto Saito,Sunwolves,6,0,0,0,0,-,0,0,-,0,5,145,0
Peter Samu,Brumbies,6,0,0,0,0,-,0,0,-,10,0,0,0
Tom Sanders,Crusaders,6,0,0,0,0,-,0,0,-,0,0,0,0
Jake Schatz,Sunwolves,6,0,0,0,0,-,0,0,-,0,0,0,0
Marnus Schoeman,Lions,6,0,0,0,0,-,0,0,-,15,0,0,0
Joel Sclavi,Jaguares,6,0,0,0,0,-,0,0,-,0,0,0,0
Angus Scott-Young,Reds,6,0,0,0,0,-,0,0,-,0,0,0,0
Seabelo Senatla,Stormers,6,0,0,0,0,-,0,0,-,5,8,164,2
Sithembiso Sithole,Lions,6,0,0,0,0,-,0,0,-,5,0,0,0
James Slipper,Brumbies,6,0,0,0,0,-,0,0,-,0,0,0,0
Dylan Smith,Lions,6,0,0,0,0,-,0,0,-,0,0,0,0
Fletcher Smith,Hurricanes,6,6,9,0,0,66,0,0,-,17,11,442,0
Jean-Pierre Smith,Reds,6,0,0,0,0,-,0,0,-,0,0,0,0
Hoskins Sotutu,Blues,6,0,0,0,0,-,0,0,-,5,2,41,0
Rosko Specman,Bulls,6,0,0,0,0,-,0,0,-,20,7,226,0
Tom Staniforth,Waratahs,6,0,0,0,0,-,0,0,-,0,0,0,0
Morne Steyn,Bulls,6,4,6,8,9,80,1,2,50,40,34,1171,0
Michael Stolberg,Sunwolves,6,0,0,0,0,-,0,0,-,10,1,23,0
Joshua Strauss,Bulls,6,0,0,0,0,-,0,0,-,0,0,0,0
Lachlan Swinton,Waratahs,6,0,0,0,0,-,0,0,-,5,0,0,0
Samisoni Taukei'aho,Chiefs,6,0,0,0,0,-,0,0,-,10,0,0,0
Karl Tu'inukuafe,Blues,6,0,0,0,0,-,0,0,-,5,0,0,0
Patrick Tuipulotu,Blues,6,0,0,0,0,-,0,0,-,5,0,0,0
Ofa Tu'ungafasi,Blues,6,0,0,0,0,-,0,0,-,0,0,0,0
Rob Valetini,Brumbies,6,0,0,0,0,-,0,0,-,5,0,0,0
Morne van den Berg,Lions,6,0,0,0,0,-,0,0,-,0,5,64,2
Wilhelm van der Sluys,Lions,6,0,0,0,0,-,0,0,-,0,0,0,0
Ernst Van Rhyn,Stormers,6,0,0,0,0,-,0,0,-,0,0,0,0
Conraad Van Vuuren,Sunwolves,6,0,0,0,0,-,0,0,-,0,0,0,0
Hencus van Wyk,Sunwolves,6,0,0,0,0,-,0,0,-,0,0,0,0
Ivan van Zyl,Bulls,6,0,0,0,0,-,0,0,-,0,11,271,0
Henco Venter,Sharks,6,0,0,0,0,-,0,0,-,0,0,0,0
James Venter,Sharks,6,0,0,0,0,-,0,0,-,5,0,0,0
Jaco Visagie,Bulls,6,0,0,0,0,-,0,0,-,5,0,0,0
Mayco Vivas,Jaguares,6,0,0,0,0,-,0,0,-,0,0,0,0
Michael Wells,Rebels,6,0,0,0,0,-,0,0,-,0,0,0,0
Damian Willemse,Stormers,6,9,14,6,9,65,0,0,-,41,41,1360,1
Kotaro Yatabe,Sunwolves,6,0,0,0,0,-,0,0,-,0,0,0,0
Robbie Abel,Waratahs,5,0,0,0,0,-,0,0,-,0,0,0,0
Jarred Adams,Sunwolves,5,0,0,0,0,-,0,0,-,0,0,0,0
Jermaine Ainsley,Rebels,5,0,0,0,0,-,0,0,-,0,0,0,0
Michael Ala'alatoa,Crusaders,5,0,0,0,0,-,0,0,-,0,0,0,0
Solomon Alaimalo,Chiefs,5,0,0,0,0,-,0,0,-,20,2,72,0
Garth April,Sunwolves,5,8,11,1,1,75,0,0,-,34,29,925,3
Juarno Augustus,Stormers,5,0,0,0,0,-,0,0,-,10,0,0,0
Jordie Barrett,Hurricanes,5,9,10,8,11,80,0,1,0,42,40,1502,1
Te Ariki Ben-Nicholas,Highlanders,5,0,0,0,0,-,0,0,-,5,0,0,0
James Blackwell,Hurricanes,5,0,0,0,0,-,0,0,-,0,0,0,0
Jamie Booth,Hurricanes,5,0,0,0,0,-,0,0,-,5,10,181,2
Lachlan Boshier,Chiefs,5,0,0,0,0,-,0,0,-,15,0,0,0
George Bridge,Crusaders,5,0,0,0,0,-,0,0,-,15,3,79,0
Mitchell Brown,Chiefs,5,0,0,0,0,-,0,0,-,0,1,13,0
Brett Cameron,Crusaders,5,5,5,0,0,100,0,0,-,10,5,180,1
Sam Cane,Chiefs,5,0,0,0,0,-,0,0,-,0,0,0,0
