Year,Location,Gender,Position,Name,Nationality,Continent,Time_Taken,Notes
2004,Athens,Women,3,"Tirunesh Dibaba",Ethiopia,Africa,14:51.83,""
2004,Athens,Women,4,"Yelena Zadorozhnaya",Russia,Europe,14:55.52,""
2004,Athens,Women,5,"Joanne Pavey","Great Britain",Europe,14:57.87,""
2004,Athens,Women,6,"Gulnara Samitova",Russia,Europe,15:02.30,""
2004,Athens,Women,7,"Irina Mikitenko",Germany,Europe,15:03.36,""
2004,Athens,Women,8,"Sun Yingjie",China,Asia,15:07.23,""
2004,Athens,Women,9,"Xing Huina",China,Asia,15:07.41,""
2004,Athens,Women,10,"Sentayehu Ejigu",Ethiopia,Africa,15:09.55,""
2004,Athens,Women,11,"Margaret Maury",France,Europe,15:09.77,""
2004,Athens,Women,12,"Elvan Abeylegesse",Turkey,Asia,15:12.64,""
2004,Athens,Women,13,"Liliya Shobukhova",Russia,Europe,15:15.64,""
2004,Athens,Women,14,"Sonia O'Sullivan",Ireland,Europe,16:20.90,""
2008,Beijing,Women,1,"Tirunesh Dibaba",Ethiopia,Africa,15:41.40,""
2008,Beijing,Women,2,"Meseret Defar",Ethiopia,Africa,15:44.12,""
2008,Beijing,Women,3,"Sylvia Kibet",Kenya,Africa,15:44.96,""
2008,Beijing,Women,4,"Vivian Cheruiyot",Kenya,Africa,15:46.32,""
2008,Beijing,Women,5,"Liliya Shobukhova",Russia,Europe,15:46.62,""
2008,Beijing,Women,6,"Alemitu Bekele",Turkey,Asia,15:48.48,""
2008,Beijing,Women,7,"Meselech Melkamu",Ethiopia,Africa,15:49.03,""
2008,Beijing,Women,8,"Kara Goucher","United States","North America",15:49.39,""
2008,Beijing,Women,9,"Shalane Flanagan","United States","North America",15:50.80,""
2008,Beijing,Women,10,"Priscah Jepleting Cherono",Kenya,Africa,15:51.78,""
2008,Beijing,Women,11,"Gulnara Samitova-Galkina",Russia,Europe,15:56.97,""
2008,Beijing,Women,12,"Xue Fei",China,Asia,16:09.84,""
2008,Beijing,Women,13,"Jennifer Rhines","United States","North America",16:34.63,""
2008,Beijing,Women,14,"Megan Metcalfe",Canada,"North America",17:06.82,""
2012,London,Women,1,"Meseret Defar",Ethiopia,Africa,15:04.25,""
2012,London,Women,2,"Vivian Cheruiyot",Kenya,Africa,15:04.73,""
2012,London,Women,3,"Tirunesh Dibaba",Ethiopia,Africa,15:05.15,""
2012,London,Women,4,"Sally Kipyego",Kenya,Africa,15:05.79,""
2012,London,Women,5,"Gelete Burka",Ethiopia,Africa,15:10.66,""
2012,London,Women,6,"Viola Kibiwot",Kenya,Africa,15:11.59,""
2012,London,Women,7,"Joanne Pavey","Great Britain",Europe,15:12.72,""
2012,London,Women,8,"Julia Bleasdale","Great Britain",Europe,15:14.55,""
2012,London,Women,9,"Olga Golovkina",Russia,Europe,15:17.88,""
2012,London,Women,10,"Shitaye Eshete",Bahrain,Asia,15:19.13,""
2012,London,Women,11,"Molly Huddle","United States","North America",15:20.29,""
2012,London,Women,12,"Tejitu Daba",Bahrain,Asia,15:21.34,""
2012,London,Women,13,"Yelena Nagovitsyna",Russia,Europe,15:21.38,""
2012,London,Women,14,"Julie Culley","United States","North America",15:28.22,""
2012,London,Women,15,"Elena Romagnolo",Italy,Europe,15:35.69,""
2016,"Rio de Janeiro",Women,1,"Vivian Cheruiyot",Kenya,Africa,14:26.17,OR
2016,"Rio de Janeiro",Women,2,"Hellen Onsando Obiri",Kenya,Africa,14:29.77,PB
2016,"Rio de Janeiro",Women,3,"Almaz Ayana",Ethiopia,Africa,14:33.59,""
2016,"Rio de Janeiro",Women,4,"Mercy Cherono",Kenya,Africa,14:42.89,""
2016,"Rio de Janeiro",Women,5,"Senbere Teferi",Ethiopia,Africa,14:43.75,""
2016,"Rio de Janeiro",Women,6,"Yasemin Can",Turkey,Asia,14:56.96,""
2016,"Rio de Janeiro",Women,7,"Karoline Bjerkeli Grøvdal",Norway,Europe,14:57.53,PB
2016,"Rio de Janeiro",Women,8,"Susan Kuijken",Netherlands,Europe,15:00.69,PB
2016,"Rio de Janeiro",Women,9,"Eloise Wellings",Australia,Oceania,15:01.59,SB
2016,"Rio de Janeiro",Women,10,"Madeline Heiner Hills",Australia,Oceania,15:04.05,PB
2016,"Rio de Janeiro",Women,11,"Shelby Houlihan","United States","North America",15:08.89,""
2016,"Rio de Janeiro",Women,12,"Genevieve LaCaze",Australia,Oceania,15:10.35,PB
2016,"Rio de Janeiro",Women,13,"Eilish McColgan","Great Britain",Europe,15:12.09,""
2016,"Rio de Janeiro",Women,14,"Ababel Yeshaneh",Ethiopia,Africa,15:18.26,""
2016,"Rio de Janeiro",Women,15,"Miyuki Uehara",Japan,Asia,15:34.97,""
2016,"Rio de Janeiro",Women,16,"Jennifer Wenth",Austria,Europe,15:56.11,""
2016,"Rio de Janeiro",Women,17,"Nikki Hamblin","New Zealand",Oceania,16:14.24,SB
2020,Tokyo,Women,1,"Sifan Hassan",Netherlands,Europe,14:36.79,""
2020,Tokyo,Women,2,"Hellen Obiri",Kenya,Africa,14:38.36,""
2020,Tokyo,Women,3,"Gudaf Tsegay",Ethiopia,Africa,14:38.87,""
2020,Tokyo,Women,4,"Agnes Jebet Tirop",Kenya,Africa,14:39.62,SB
2020,Tokyo,Women,5,"Ejgayehu Taye",Ethiopia,Africa,14:41.24,""
2020,Tokyo,Women,6,"Senbere Teferi",Ethiopia,Africa,14:45.11,""
2020,Tokyo,Women,7,"Nadia Battocletti",Italy,Europe,14:46.29,PB
2020,Tokyo,Women,8,"Yasemin Can",Turkey,Asia,14:46.49,""
2020,Tokyo,Women,9,"Ririka Hironaka",Japan,Asia,14:52.84,NR
2020,Tokyo,Women,10,"Selamawit Teferi",Israel,Asia,14:54.39,""
2020,Tokyo,Women,11,"Karissa Schweizer","United States","North America",14:55.80,""
2020,Tokyo,Women,12,"Lilian Kasait Rengeruk",Kenya,Africa,14:55.85,""
2020,Tokyo,Women,13,"Elise Cranny","United States","North America",14:55.98,SB
2020,Tokyo,Women,14,"Karoline Bjerkeli Grovdal",Norway,Europe,15:09.37,""
2020,Tokyo,Women,15,"Andrea Seccafien",Canada,"North America",15:12.09,""
