Name,Club,Games,Turnovers,Handling Errors,Penalties Conceded,Yellow Cards,Red Cards,Tackles,Missed Tackles,Ineffective Tackles,Tackle Efficiency %,Pilfers,Forced Penalties,Forced Ruck & Maul Penalties
Johnny Kotze,BUL,6,6,5,2,1,0,36,11,3,72,0,0,0
Marcos Kremer,JAG,6,2,3,5,1,0,74,9,3,86,0,3,3
Daniel Kriel,LIO,6,2,2,1,0,0,33,6,5,75,0,0,0
Tevita Kuridrani,BRU,6,2,2,3,0,0,37,7,9,69,0,0,0
Ben Lam,HUR,6,5,3,0,0,0,14,3,4,66,1,0,0
Ngani Laumape,HUR,6,7,9,2,0,0,26,4,3,78,0,1,1
Rob Leota,REB,6,0,0,1,0,0,22,0,0,100,0,1,1
Dillyn Leyds,STO,6,6,4,1,0,0,16,2,3,76,0,0,0
Tomas Lezana,JAG,6,1,1,1,0,0,51,8,3,82,0,0,0
Noah Lolesio,BRU,6,5,5,0,0,0,22,7,3,68,0,1,1
Ryan Lonergan,BRU,6,2,2,2,0,0,17,2,5,70,0,0,0
Wilco Louw,STO,6,0,0,3,0,0,25,4,0,86,0,0,0
Jack Maddocks,WAR,6,7,6,0,0,0,17,5,2,70,0,0,0
Frans Malherbe,STO,6,1,1,4,1,0,46,11,1,79,0,0,0
Makazole Mapimpi,SHA,6,6,3,3,0,0,19,3,4,73,0,0,0
Joe Marchant,BLU,6,2,2,2,0,0,19,9,5,57,0,0,0
Len Massyn,LIO,6,2,2,2,0,0,45,7,3,81,1,1,1
Connal McInerney,BRU,6,2,1,2,0,0,45,6,3,83,0,1,1
Bill Meakes,REB,6,2,2,2,1,0,54,10,4,79,0,0,0
John-Hubert Meyer,SHA,6,0,0,4,0,0,22,3,1,84,0,0,0
Will Miller,BRU,6,0,0,3,0,0,47,8,1,83,2,2,2
Domingo Miotti,JAG,6,3,5,0,0,0,27,6,6,69,0,0,0
Salmaan Moerat,STO,6,2,2,4,0,0,49,4,5,84,0,1,1
Julian Montoya,JAG,6,4,1,1,0,0,35,2,0,94,1,1,1
Keisuke Moriya,SUN,6,4,4,0,0,0,26,20,1,55,0,0,0
