Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
M. Tambwe,SHA,5,3,1,15,34,16,197,0,1,0,5,0,11,0,0,1,36,0
T. Tasi,SUN,5,1,0,5,30,21,160,0,3,1,6,6,11,0,0,1,17,0
C. Taylor,CRU,5,1,0,5,36,20,121,1,3,1,5,1,13,0,0,0,0,0
B. Te'o,SUN,5,0,1,0,76,41,230,0,0,3,10,7,30,0,0,4,98,0
N. Tetaz Chaparro,JAG,5,0,0,0,10,10,36,0,0,0,2,0,0,0,0,0,0,0
S. Tokolahi,HIG,5,0,0,0,19,16,59,0,0,1,2,1,4,0,0,0,0,0
M. To'omua,REB,5,0,2,36,124,14,93,0,0,6,2,4,64,0,0,40,1286,1
K. Trask,CHI,5,1,0,11,52,7,29,0,0,0,3,0,32,0,0,13,528,1
C. Van Zyl,STO,5,0,0,0,16,15,62,1,0,0,0,1,6,8,1,0,0,0
I. Walker-Leawere,HUR,5,0,0,0,26,18,95,1,0,0,4,2,18,9,3,0,0,0
J. Ward,SHA,5,0,0,0,12,7,41,0,0,1,1,3,7,0,0,0,0,0
B. Weber,CHI,5,3,1,15,250,19,146,1,3,2,8,2,205,0,0,25,590,2
T. Wright,BRU,5,4,0,20,31,19,266,1,4,1,8,3,8,0,0,2,39,0
D. Zander,RED,5,0,0,0,9,7,25,0,0,0,0,0,2,0,0,0,0,0
W. Alberts,LIO,4,0,0,0,33,23,85,0,0,0,2,2,7,4,0,0,0,0
M. Allardice,CHI,4,0,0,0,20,10,35,4,0,0,2,2,11,11,0,1,15,0
T. Ardron,CHI,4,0,0,0,27,17,62,2,0,0,1,0,17,16,1,0,0,0
F. Armstrong,HUR,4,0,0,0,10,8,26,0,0,0,0,0,1,0,0,0,0,0
S. Barrett,CRU,4,0,1,0,41,26,114,1,0,1,3,0,19,9,2,0,0,0
G. Bertranou,JAG,4,0,0,0,184,8,49,0,1,0,1,1,161,0,0,10,199,2
O. Black,BLU,4,0,1,42,109,12,70,0,0,7,3,1,70,0,0,27,777,0
