|   Year | Location       | Gender   |   Position | Name                      | Nationality    | Continent     | Time_Taken   | Notes   | Time                   | Time_Difference        |
|   1960 | Rome           | Men      |          2 | Rhadi Ben Abdesselam      | Morocco        | Africa        | 2:15:41.6    | -       | 0 days 02:15:41.600000 | 0 days 00:00:25.400000 |
|   1960 | Rome           | Men      |          3 | Barry Magee               | New Zealand    | Oceania       | 2:17:18.2    | -       | 0 days 02:17:18.200000 | 0 days 00:01:36.600000 |
|   1964 | Tokyo          | Men      |          1 | Abebe Bikila              | Ethiopia       | Africa        | 2:12:11.2    | WR      | 0 days 02:12:11.200000 | NaT                    |
|   1964 | Tokyo          | Men      |          2 | Basil Heatley             | Great Britain  | Europe        | 2:16:19.2    | -       | 0 days 02:16:19.200000 | 0 days 00:04:08        |
|   1964 | Tokyo          | Men      |          3 | Kōkichi Tsuburaya         | Japan          | Asia          | 2:16:22.8    | -       | 0 days 02:16:22.800000 | 0 days 00:00:03.600000 |
|   1968 | Mexico City    | Men      |          1 | Mamo Wolde                | Ethiopia       | Africa        | 2:20:26      | -       | 0 days 02:20:26        | NaT                    |
|   1968 | Mexico City    | Men      |          2 | Kenji Kimihara            | Japan          | Asia          | 2:23:31      | -       | 0 days 02:23:31        | 0 days 00:03:05        |
|   1968 | Mexico City    | Men      |          3 | Mike Ryan                 | New Zealand    | Oceania       | 2:23:45      | -       | 0 days 02:23:45        | 0 days 00:00:14        |
|   1972 | Munich         | Men      |          1 | Frank Shorter             | United States  | North America | 2:12:19      | -       | 0 days 02:12:19        | NaT                    |
|   1972 | Munich         | Men      |          2 | Karel Lismont             | Belgium        | Europe        | 2:14:31      | -       | 0 days 02:14:31        | 0 days 00:02:12        |
|   1972 | Munich         | Men      |          3 | Mamo Wolde                | Ethiopia       | Africa        | 2:15:08      | -       | 0 days 02:15:08        | 0 days 00:00:37        |
|   1976 | Montreal       | Men      |          1 | Waldemar Cierpinski       | East Germany   | Europe        | 2:09:55      | OR      | 0 days 02:09:55        | NaT                    |
|   1976 | Montreal       | Men      |          2 | Frank Shorter             | United States  | North America | 2:10:45      | -       | 0 days 02:10:45        | 0 days 00:00:50        |
|   1976 | Montreal       | Men      |          3 | Karel Lismont             | Belgium        | Europe        | 2:11:12      | -       | 0 days 02:11:12        | 0 days 00:00:27        |
|   1980 | Moscow         | Men      |          1 | Waldemar Cierpinski       | East Germany   | Europe        | 2:11:03      | -       | 0 days 02:11:03        | NaT                    |
|   1980 | Moscow         | Men      |          2 | Gerard Nijboer            | Netherlands    | Europe        | 2:11:20      | -       | 0 days 02:11:20        | 0 days 00:00:17        |
|   1980 | Moscow         | Men      |          3 | Satymkul Dzhumanazarov    | Soviet Union   | Europe        | 2:11:35      | -       | 0 days 02:11:35        | 0 days 00:00:15        |
|   1984 | Los Angeles    | Men      |          1 | Carlos Lopes              | Portugal       | Europe        | 2:09:21      | OR      | 0 days 02:09:21        | NaT                    |
|   1984 | Los Angeles    | Men      |          2 | John Treacy               | Ireland        | Europe        | 2:09:56      | -       | 0 days 02:09:56        | 0 days 00:00:35        |
|   1984 | Los Angeles    | Men      |          3 | Charlie Spedding          | Great Britain  | Europe        | 2:09:58      | -       | 0 days 02:09:58        | 0 days 00:00:02        |
|   1988 | Seoul          | Men      |          1 | Gelindo Bordin            | Italy          | Europe        | 2:10:32      | -       | 0 days 02:10:32        | NaT                    |
|   1988 | Seoul          | Men      |          2 | Douglas Wakiihuri         | Kenya          | Africa        | 2:10:47      | -       | 0 days 02:10:47        | 0 days 00:00:15        |
